# Emoji 17.0 单码位纯净版（机器可读）
# 生成日期: 2026-02-13
# 说明: 仅包含单码位Emoji，已过滤所有多码位序列
# 字段: 字符\t码位\t状态\t版本\t名称
# 单码位定义: 码位字段不含空格
🦍	1F98D	fully-qualified	E3.0	gorilla
🦧	1F9A7	fully-qualified	E12.0	orangutan
🐶	1F436	fully-qualified	E0.6	dog face
🐕	1F415	fully-qualified	E0.7	dog
🦮	1F9AE	fully-qualified	E12.0	guide dog
🐩	1F429	fully-qualified	E0.6	poodle
🐺	1F43A	fully-qualified	E0.6	wolf
🦊	1F98A	fully-qualified	E3.0	fox
🦝	1F99D	fully-qualified	E11.0	raccoon
🐱	1F431	fully-qualified	E0.6	cat face
🐈	1F408	fully-qualified	E0.7	cat
🦁	1F981	fully-qualified	E1.0	lion
🐯	1F42F	fully-qualified	E0.6	tiger face
🐅	1F405	fully-qualified	E1.0	tiger
🐆	1F406	fully-qualified	E1.0	leopard
🐴	1F434	fully-qualified	E0.6	horse face
🫎	1FACE	fully-qualified	E15.0	moose
🫏	1FACF	fully-qualified	E15.0	donkey
🐎	1F40E	fully-qualified	E0.6	horse
🦄	1F984	fully-qualified	E1.0	unicorn
🦓	1F993	fully-qualified	E5.0	zebra
🦌	1F98C	fully-qualified	E3.0	deer
🦬	1F9AC	fully-qualified	E13.0	bison
🐮	1F42E	fully-qualified	E0.6	cow face
🐂	1F402	fully-qualified	E1.0	ox
🐃	1F403	fully-qualified	E1.0	water buffalo
🐄	1F404	fully-qualified	E1.0	cow
🐷	1F437	fully-qualified	E0.6	pig face
🐖	1F416	fully-qualified	E1.0	pig
🐗	1F417	fully-qualified	E0.6	boar
🐽	1F43D	fully-qualified	E0.6	pig nose
🐏	1F40F	fully-qualified	E1.0	ram
🐑	1F411	fully-qualified	E0.6	ewe
🐐	1F410	fully-qualified	E1.0	goat
🐪	1F42A	fully-qualified	E1.0	camel
🐫	1F42B	fully-qualified	E0.6	two-hump camel
🦙	1F999	fully-qualified	E11.0	llama
🦒	1F992	fully-qualified	E5.0	giraffe
🐘	1F418	fully-qualified	E0.6	elephant
🦣	1F9A3	fully-qualified	E13.0	mammoth
🦏	1F98F	fully-qualified	E3.0	rhinoceros
🦛	1F99B	fully-qualified	E11.0	hippopotamus
🐭	1F42D	fully-qualified	E0.6	mouse face
🐁	1F401	fully-qualified	E1.0	mouse
🐀	1F400	fully-qualified	E1.0	rat
🐹	1F439	fully-qualified	E0.6	hamster
🐰	1F430	fully-qualified	E0.6	rabbit face
🐇	1F407	fully-qualified	E1.0	rabbit
🐿	1F43F	unqualified	E0.7	chipmunk
🦫	1F9AB	fully-qualified	E13.0	beaver
🦔	1F994	fully-qualified	E5.0	hedgehog
🦇	1F987	fully-qualified	E3.0	bat
🐻	1F43B	fully-qualified	E0.6	bear
🐨	1F428	fully-qualified	E0.6	koala
🐼	1F43C	fully-qualified	E0.6	panda
🦥	1F9A5	fully-qualified	E12.0	sloth
🦦	1F9A6	fully-qualified	E12.0	otter
🦨	1F9A8	fully-qualified	E12.0	skunk
🦘	1F998	fully-qualified	E11.0	kangaroo
🦡	1F9A1	fully-qualified	E11.0	badger
🐾	1F43E	fully-qualified	E0.6	paw prints
🦃	1F983	fully-qualified	E1.0	turkey
🐔	1F414	fully-qualified	E0.6	chicken
🐓	1F413	fully-qualified	E1.0	rooster
🐣	1F423	fully-qualified	E0.6	hatching chick
🐤	1F424	fully-qualified	E0.6	baby chick
🐥	1F425	fully-qualified	E0.6	front-facing baby chick
🐦	1F426	fully-qualified	E0.6	bird
🐧	1F427	fully-qualified	E0.6	penguin
🕊	1F54A	unqualified	E0.7	dove
🦅	1F985	fully-qualified	E3.0	eagle
🦆	1F986	fully-qualified	E3.0	duck
🦢	1F9A2	fully-qualified	E11.0	swan
🦉	1F989	fully-qualified	E3.0	owl
🦤	1F9A4	fully-qualified	E13.0	dodo
🪶	1FAB6	fully-qualified	E13.0	feather
🦩	1F9A9	fully-qualified	E12.0	flamingo
🦚	1F99A	fully-qualified	E11.0	peacock
🦜	1F99C	fully-qualified	E11.0	parrot
🪽	1FABD	fully-qualified	E15.0	wing
🪿	1FABF	fully-qualified	E15.0	goose
🐸	1F438	fully-qualified	E0.6	frog
🐊	1F40A	fully-qualified	E1.0	crocodile
🐢	1F422	fully-qualified	E0.6	turtle
🦎	1F98E	fully-qualified	E3.0	lizard
🐍	1F40D	fully-qualified	E0.6	snake
🐲	1F432	fully-qualified	E0.6	dragon face
🐉	1F409	fully-qualified	E1.0	dragon
🦕	1F995	fully-qualified	E5.0	sauropod
🦖	1F996	fully-qualified	E5.0	T-Rex
🐳	1F433	fully-qualified	E0.6	spouting whale
🐋	1F40B	fully-qualified	E1.0	whale
🐬	1F42C	fully-qualified	E0.6	dolphin
🫍	1FACD	fully-qualified	E17.0	orca
🦭	1F9AD	fully-qualified	E13.0	seal
🐟	1F41F	fully-qualified	E0.6	fish
🐠	1F420	fully-qualified	E0.6	tropical fish
🐡	1F421	fully-qualified	E0.6	blowfish
🦈	1F988	fully-qualified	E3.0	shark
🐙	1F419	fully-qualified	E0.6	octopus
🐚	1F41A	fully-qualified	E0.6	spiral shell
🪸	1FAB8	fully-qualified	E14.0	coral
🪼	1FABC	fully-qualified	E15.0	jellyfish
🦀	1F980	fully-qualified	E1.0	crab
🦞	1F99E	fully-qualified	E11.0	lobster
🦐	1F990	fully-qualified	E3.0	shrimp
🦑	1F991	fully-qualified	E3.0	squid
🦪	1F9AA	fully-qualified	E12.0	oyster
🐌	1F40C	fully-qualified	E0.6	snail
🦋	1F98B	fully-qualified	E3.0	butterfly
